Product Name,Short Description,Description,Price
Base d'adresses emails EHPAD,20.316 adresses emails d'établissement d'hébergement pour personnes âgées dépendantes,"Les 20.316  adresses e-mails des maisons de retraite et des résidences avec service sont fournies sur un fichier XLS avec les colonnes NOM - ADRESSE - CP - VILLE - TEL - EMAIL
Nous ajoutons systématiquement les champs FORME JURIDIQUE / NOM DU DIRIGEANT / DATE DE CREATION / SIRET / SIREN / CODE NAF APE / CHIFFRE D'AFFAIRES / RESULTAT / NOMBRE DE SALARIÉS EFFECTIF que nous avons en notre possession.",200
Emails foyers hébergement handicapés,12.522 adresses emails des foyers d'hébergement pour handicapés,"Les 12.522 adresses e-mails des foyers d'hébergement et établisseemnts pour handicapés sont fournies sur un fichier Excel avec les colonnes NOM - ADRESSE - CP - VILLE - TEL -  EMAIL
Nous ajoutons systématiquement les champs FORME JURIDIQUE / NOM DU DIRIGEANT / DATE DE CREATION / SIRET / SIREN / CODE NAF APE / CHIFFRE D'AFFAIRES / RESULTAT / NOMBRE DE SALARIÉS EFFECTIF que nous avons en notre possession.",130
Base d'adresses emails d'agriculteurs,11.511 adresses emails d'agriculteurs,"Les 11.511 adresses e-mails des agriculteurs sont fournies sur un fichier Excel avec les colonnes NOM - ADRESSE - CODE POSTAL - VILLE - TELEPHONE - ADRESSE E-MAIL
Nous ajoutons systématiquement les champs FORME JURIDIQUE / NOM DU DIRIGEANT / DATE DE CREATION / SIRET / SIREN / CODE NAF APE / CHIFFRE D'AFFAIRES / RESULTAT / NOMBRE DE SALARIÉS EFFECTIF que nous avons en notre possession.",150
Adresses emails boucheries charcuteries,10.562 adresses emails de boucheries charcuteries chevalines,"Les 10.562 adresses e-mails de boucheries charcuteries et des chevalines sont fournies sur un fichier Excel avec les colonnes NOM - ADRESSE - CODE POSTAL - VILLE - TELEPHONE - ADRESSE E-MAIL
Nous ajoutons systématiquement les champs FORME JURIDIQUE / NOM DU DIRIGEANT / DATE DE CREATION / SIRET / SIREN / CODE NAF APE / CHIFFRE D'AFFAIRES / RESULTAT / NOMBRE DE SALARIÉS EFFECTIF que nous avons en notre possession.",150
Adresses emails boulangeries patisseries,19.983 adresses emails de boulangeries patisseries,"Les 19.983 adresses e-mails des boulangeries et patisseries sont fournies sur un fichier Excel avec les colonnes NOM - ADRESSE - CODE POSTAL - VILLE - TELEPHONE - ADRESSE E-MAIL
Nous ajoutons systématiquement les champs FORME JURIDIQUE / NOM DU DIRIGEANT / DATE DE CREATION / SIRET / SIREN / CODE NAF APE / CHIFFRE D'AFFAIRES / RESULTAT / NOMBRE DE SALARIÉS EFFECTIF que nous avons en notre possession.",150
Emails cavistes et vente de vins et spiritueux,10.462 adresses emails de cavistes et vente de vins et spiritueux,"Les 10.462 adresses e-mails des cavistes et vente de vins et spiritueux sont fournies sur un fichier Excel avec les colonnes NOM - ADRESSE - CODE POSTAL - VILLE - TELEPHONE - ADRESSE E-MAIL
Nous ajoutons systématiquement les champs FORME JURIDIQUE / NOM DU DIRIGEANT / DATE DE CREATION / SIRET / SIREN / CODE NAF APE / CHIFFRE D'AFFAIRES / RESULTAT / NOMBRE DE SALARIÉS EFFECTIF que nous avons en notre possession.",150
Adresses emails d'épiceries fines,6.823 adresses emails d'épiceries fines,"Les 6.823 adresses e-mails des épiceries fines sont fournies sur un fichier Excel avec les colonnes NOM - ADRESSE - CODE POSTAL - VILLE - TELEPHONE - ADRESSE E-MAIL
Nous ajoutons systématiquement les champs FORME JURIDIQUE / NOM DU DIRIGEANT / DATE DE CREATION / SIRET / SIREN / CODE NAF APE / CHIFFRE D'AFFAIRES / RESULTAT / NOMBRE DE SALARIÉS EFFECTIF que nous avons en notre possession.",80
Adresses emails vignerons viticulteurs,21.642 adresses emails uniques de vignerons viticulteurs,"Les 21.642 adresses e-mails des vignerons et producteurs de vin et des caves coopératives sont fournies sur un fichier Excel avec les colonnes NOM - ADRESSE - CODE POSTAL - VILLE - TELEPHONE - ADRESSE E-MAIL
Nous ajoutons systématiquement les champs FORME JURIDIQUE / NOM DU DIRIGEANT / DATE DE CREATION / SIRET / SIREN / CODE NAF APE / CHIFFRE D'AFFAIRES / RESULTAT / NOMBRE DE SALARIÉS EFFECTIF que nous avons en notre possession.",210
Adresses e-mails produits biologiques,6.043 emails des producteurs et vendeurs de produits de l'agriculture biologique,"Les 6.043  adresses e-mails producteurs et vendeurs de produits de l'agriculture biologique sont fournies sur un fichier XLS avec les colonnes NOM - ADRESSE - CP - VILLE - TEL - EMAIL.
Nous ajoutons systématiquement les champs FORME JURIDIQUE / NOM DU DIRIGEANT / DATE DE CREATION / SIRET / SIREN / CODE NAF APE / CHIFFRE D'AFFAIRES / RESULTAT / NOMBRE DE SALARIÉS EFFECTIF que nous avons en notre possession.",80
Adresses e-mails des élevages chiens et chats,Base de 2.477 adresses emails des élevages de chiens et de chats,"Les 2.477 adresses e-mails des élevages de chiens et de chats sont fournies sur un fichier XLS avec les colonnes NOM - ADRESSE - CP - VILLE - TEL -  EMAIL
Nous ajoutons systématiquement les champs FORME JURIDIQUE / NOM DU DIRIGEANT / DATE DE CREATION / SIRET / SIREN / CODE NAF APE / CHIFFRE D'AFFAIRES / RESULTAT / NOMBRE DE SALARIÉS EFFECTIF que nous avons en notre possession.",50
Superettes épiceries de quartier,12.143 adresses emails des supérettes et épiceries de quartier,"Les 12.143 adresses e-mails des épieries de quartier et détaillants en alimentation générale et petites supérettes et magasins de proximité sont fournies sur un fichier XLS avec les colonnes NOM - ADRESSE - CP - VILLE - TEL -EMAIL
Nous ajoutons systématiquement les champs FORME JURIDIQUE / NOM DU DIRIGEANT / DATE DE CREATION / SIRET / SIREN / CODE NAF APE / CHIFFRE D'AFFAIRES / RESULTAT / NOMBRE DE SALARIÉS EFFECTIF que nous avons en notre possession.",150
E-mails confiseries et chocolateries,5.812 adresses emails des confiseries et chocolateries,"Les 5.812 adresses e-mails des confiseries et chocolateries sont fournies sur un fichier XLS avec les colonnes NOM - ADRESSE - CP - VILLE - TEL - EMAIL
Nous ajoutons systématiquement les champs FORME JURIDIQUE / NOM DU DIRIGEANT / DATE DE CREATION / SIRET / SIREN / CODE NAF APE / CHIFFRE D'AFFAIRES / RESULTAT / NOMBRE DE SALARIÉS EFFECTIF que nous avons en notre possession.",80
Adresses emails fabrication bières,"976 adresses emails de fabrication de bières, brasseurs","Les 976 adresses e-mails des brasseurs et de fabrication de bières sont fournies sur un fichier XLS avec les colonnes NOM - ADRESSE - CP - VILLE - TEL - EMAIL
Nous ajoutons systématiquement les champs FORME JURIDIQUE / NOM DU DIRIGEANT / DATE DE CREATION / SIRET / SIREN / CODE NAF APE / CHIFFRE D'AFFAIRES / RESULTAT / NOMBRE DE SALARIÉS EFFECTIF que nous avons en notre possession.",20
Adresses emails production de cidre,149 adresses emails de producteurs de cidre,"Les 149 adresses e-mails des producteurs de cidre sont fournies sur un fichier XLS avec les colonnes NOM - ADRESSE - CP - VILLE - TEL - EMAIL
Nous ajoutons systématiquement les champs FORME JURIDIQUE / NOM DU DIRIGEANT / DATE DE CREATION / SIRET / SIREN / CODE NAF APE / CHIFFRE D'AFFAIRES / RESULTAT / NOMBRE DE SALARIÉS EFFECTIF que nous avons en notre possession.",20
Base d'adresses emails des abattoirs,1.009 adresses emails des abattoirs,"Les 1.009 adresses e-mails des abattoirs sont fournies sur un fichier XLS avec les colonnes NOM - ADRESSE - CP - VILLE - TEL - EMAIL
Nous ajoutons systématiquement les champs FORME JURIDIQUE / NOM DU DIRIGEANT / DATE DE CREATION / SIRET / SIREN / CODE NAF APE / CHIFFRE D'AFFAIRES / RESULTAT / NOMBRE DE SALARIÉS EFFECTIF que nous avons en notre possession.",20
Adresses emails elevage animaux,4.924 adresses emails des élevages d'animaux,"Les 4.924 adresses e-mails des éleveurs d'animaux sont fournies sur un fichier XLS avec les colonnes NOM - ADRESSE - CP - VILLE - TEL - EMAIL
Nous ajoutons systématiquement les champs FORME JURIDIQUE / NOM DU DIRIGEANT / DATE DE CREATION / SIRET / SIREN / CODE NAF APE / CHIFFRE D'AFFAIRES / RESULTAT / NOMBRE DE SALARIÉS EFFECTIF que nous avons en notre possession.",60
Adresses emails elevage bovins,2.687 adresses emails d'elevage de bovins,"Les 2.687 adresses emails d'elevage de bovins sont fournies sur un fichier XLS avec les colonnes NOM - ADRESSE - CP - VILLE - TEL - EMAIL
Nous ajoutons systématiquement les champs FORME JURIDIQUE / NOM DU DIRIGEANT / DATE DE CREATION / SIRET / SIREN / CODE NAF APE / CHIFFRE D'AFFAIRES / RESULTAT / NOMBRE DE SALARIÉS EFFECTIF que nous avons en notre possession.",50
Adresses emails elevage gibiers,289 adresses emails d'elevage de gibiers,"Les 289 adresses e-mails d'elevage de gibiers sont fournies sur un fichier XLS avec les colonnes NOM - ADRESSE - CP - VILLE - TEL - EMAIL
Nous ajoutons systématiquement les champs FORME JURIDIQUE / NOM DU DIRIGEANT / DATE DE CREATION / SIRET / SIREN / CODE NAF APE / CHIFFRE D'AFFAIRES / RESULTAT / NOMBRE DE SALARIÉS EFFECTIF que nous avons en notre possession.",20
Emails elevage moutons et chevres,680 adresses emails d'elevage de moutons et de chevres,"Les 680 adresses e-mails des élevages de moutons et de chèvres sont fournies sur un fichier XLS avec les colonnes NOM - ADRESSE - CP - VILLE - TEL - EMAIL
Nous ajoutons systématiquement les champs FORME JURIDIQUE / NOM DU DIRIGEANT / DATE DE CREATION / SIRET / SIREN / CODE NAF APE / CHIFFRE D'AFFAIRES / RESULTAT / NOMBRE DE SALARIÉS EFFECTIF que nous avons en notre possession.",20
Adresses emails matériel agricole,6.892 adresses emails de matériel agricole,"Les 6.892 adresses e-mails des entreprises de matériel agricole sont fournies sur un fichier XLS avec les colonnes NOM - ADRESSE - CP - VILLE - TEL - EMAIL
Nous ajoutons systématiquement les champs FORME JURIDIQUE / NOM DU DIRIGEANT / DATE DE CREATION / SIRET / SIREN / CODE NAF APE / CHIFFRE D'AFFAIRES / RESULTAT / NOMBRE DE SALARIÉS EFFECTIF que nous avons en notre possession.",85
Emails négociants en gros de vins spiritueux et alcools,"3.167 adresses emails des négociants en gros de vins, de spiritueux et d'alcools","Les 3.167 adresses e-mails des négociants en gros de vins, de spiritueux et d'alcools sont fournies sur un fichier XLS avec les colonnes NOM - ADRESSE - CP - VILLE - TEL - EMAIL
Nous ajoutons systématiquement les champs FORME JURIDIQUE / NOM DU DIRIGEANT / DATE DE CREATION / SIRET / SIREN / CODE NAF APE / CHIFFRE D'AFFAIRES / RESULTAT / NOMBRE DE SALARIÉS EFFECTIF que nous avons en notre possession.",39
Base adresses emails horticulteurs,2.656 adresses emails des horticulteurs,"Les 2.656 adresses e-mails des horticulteurs sont fournies sur un fichier XLS avec les colonnes NOM - ADRESSE - CP - VILLE - TEL - EMAIL
Nous ajoutons systématiquement les champs FORME JURIDIQUE / NOM DU DIRIGEANT / DATE DE CREATION / SIRET / SIREN / CODE NAF APE / CHIFFRE D'AFFAIRES / RESULTAT / NOMBRE DE SALARIÉS EFFECTIF que nous avons en notre possession.",40
Emails conserves de plats cuisinés,936 adresses emails des conserves de plats cuisinés,"Les 936 adresses e-mails des fabriquants de conserves de plats cuisinés sont fournies sur un fichier XLS avec les colonnes NOM - ADRESSE - CP - VILLE - TEL - EMAIL
Nous ajoutons systématiquement les champs FORME JURIDIQUE / NOM DU DIRIGEANT / DATE DE CREATION / SIRET / SIREN / CODE NAF APE / CHIFFRE D'AFFAIRES / RESULTAT / NOMBRE DE SALARIÉS EFFECTIF que nous avons en notre possession.",20
Emails conserves de poissons et de salaisons maritimes,314 adresses emails des conserves de poissons et de salaisons maritimes,"Les 314 adresses e-mails des conserveries de poissons et de salaisons maritimes sont fournies sur un fichier XLS avec les colonnes NOM - ADRESSE - CP - VILLE - TEL - EMAIL
Nous ajoutons systématiquement les champs FORME JURIDIQUE / NOM DU DIRIGEANT / DATE DE CREATION / SIRET / SIREN / CODE NAF APE / CHIFFRE D'AFFAIRES / RESULTAT / NOMBRE DE SALARIÉS EFFECTIF que nous avons en notre possession.",20
Emails des conserves de viandes,116 adresses emails des conserves de viandes,"Les 116 adresses e-mails des fabriquants de conserves de viandes sont fournies sur un fichier XLS avec les colonnes NOM - ADRESSE - CP - VILLE - TEL - EMAIL
Nous ajoutons systématiquement les champs FORME JURIDIQUE / NOM DU DIRIGEANT / DATE DE CREATION / SIRET / SIREN / CODE NAF APE / CHIFFRE D'AFFAIRES / RESULTAT / NOMBRE DE SALARIÉS EFFECTIF que nous avons en notre possession.",15
Emails fabricants de plats surgelés,495 adresses emails des fabricants de plats surgelés,"Les 495 adresses e-mails des fabricants de plats surgelés sont fournies sur un fichier XLS avec les colonnes NOM - ADRESSE - CP - VILLE - TEL - EMAIL
Nous ajoutons systématiquement les champs FORME JURIDIQUE / NOM DU DIRIGEANT / DATE DE CREATION / SIRET / SIREN / CODE NAF APE / CHIFFRE D'AFFAIRES / RESULTAT / NOMBRE DE SALARIÉS EFFECTIF que nous avons en notre possession.",20
"Adresses emails pack Auto : garages, concessions ....","77.601 adresses emails du secteur automobile : garages, concessions, vendeurs de voitures ....","Les 77.601 adresses e-mails du secteur automobile sont fournies sur un fichier Excel avec les colonnes NOM - ADRESSE - CODE POSTAL - VILLE - TELEPHONE - ADRESSE E-MAIL - ACTIVITE
Nous pouvons vous proposer l'achat d'une sélection du fichier sur un département ou une région. Le mieux est de vous rendre à la rubrique Contact et de nous envoyer votre demande. Nous vous répondrons par e-mail avec le comptage et devis correspondant.
Liste des activités de ce fichier d'adresses e-mails:
AGENTS, CONCESSIONNAIRES ET DISTRIBUTEURS D'AUTOMOBILES
AUTOMOBILES (CREDIT, LEASING, LOCATION LONGUE DUREE)
AUTOMOBILES (PIECES DETACHEES D'OCCASION)
AUTOMOBILES D'OCCASION
CARROSSERIE ET PEINTURE AUTOMOBILE
CASSES AUTOMOBILES (DESTRUCTION DE VEHICULES)
CENTRES AUTOS, ENTRETIEN RAPIDE
CONSTRUCTION, IMPORTATION D'AUTOMOBILES
DEPANNAGES ET REMORQUAGES D'AUTOMOBILES
FABRICATION D'EQUIPEMENTS ET DE PIECES POUR AUTOMOBILES, VEHICULES INDUSTRIELS
GARAGES D'AUTOMOBILES, REPARATION
LOCATION D'AUTOMOBILES : TOURISME ET UTILITAIRES
LOCATION D'AUTOMOBILES AVEC CHAUFFEUR
STATIONS TECHNIQUES D'ELECTRICITE POUR AUTOMOBILES
VENTE, MONTAGE DE PNEUS
Nous ajoutons systématiquement les champs FORME JURIDIQUE / NOM DU DIRIGEANT / DATE DE CREATION / SIRET / SIREN / CODE NAF APE / CHIFFRE D'AFFAIRES / RESULTAT / NOMBRE DE SALARIÉS EFFECTIF que nous avons en notre possession.",500
Base d'adresses emails d'autocaristes,3.596 adresses emails d'autocaristes,"Les 3.596 adresses e-mails des autocaristes sont fournies sur un fichier Excel avec les colonnes NOM - ADRESSE - CODE POSTAL - VILLE - TELEPHONE - ADRESSE E-MAIL
Nous ajoutons systématiquement les champs FORME JURIDIQUE / NOM DU DIRIGEANT / DATE DE CREATION / SIRET / SIREN / CODE NAF APE / CHIFFRE D'AFFAIRES / RESULTAT / NOMBRE DE SALARIÉS EFFECTIF que nous avons en notre possession.",55
Base d'adresses emails d'auto-ecoles,12.030 adresses emails d'auto-ecoles,"Les 12.030 adresses e-mails des auto-ecoles sont fournies sur un fichier Excel avec les colonnes NOM - ADRESSE - CODE POSTAL - VILLE - TELEPHONE - ADRESSE E-MAIL
Nous ajoutons systématiquement les champs FORME JURIDIQUE / NOM DU DIRIGEANT / DATE DE CREATION / SIRET / SIREN / CODE NAF APE / CHIFFRE D'AFFAIRES / RESULTAT / NOMBRE DE SALARIÉS EFFECTIF que nous avons en notre possession.",150
Emails de dépanneurs et remorqueurs automobiles,5.435 adresses emails de sociétés de dépannage et de remorquage automobiles,"Les 5.435 adresses e-mails des sociétés de dépannage automobile et les adresses e-mails de remorquage d'automobiles sont fournies sur un fichier Excel avec les colonnes NOM - ADRESSE - CODE POSTAL - VILLE - TELEPHONE - ADRESSE E-MAIL
Nous ajoutons systématiquement les champs FORME JURIDIQUE / NOM DU DIRIGEANT / DATE DE CREATION / SIRET / SIREN / CODE NAF APE / CHIFFRE D'AFFAIRES / RESULTAT / NOMBRE DE SALARIÉS EFFECTIF que nous avons en notre possession.",70
E-mails de garages automobiles,49.036 adresses emails de garages automobiles,"Les 49.036 adresses e-mails des garages automobiles sont fournies sur un fichier Excel avec les colonnes NOM - ADRESSE - CODE POSTAL - VILLE - TELEPHONE - ADRESSE E-MAIL
Nous pouvons vous proposer l'achat d'une sélection du fichier sur un département ou une région. Le mieux est de vous rendre à la rubrique Contact et de nous envoyer votre demande. Nous vous répondrons par e-mail avec le comptage et devis correspondant.
Nous ajoutons systématiquement les champs FORME JURIDIQUE / NOM DU DIRIGEANT / DATE DE CREATION / SIRET / SIREN / CODE NAF APE / CHIFFRE D'AFFAIRES / RESULTAT / NOMBRE DE SALARIÉS EFFECTIF que nous avons en notre possession.",400
Base d'adresses emails de taxis,13.602 adresses emails de taxis,"Les 13.602 adresses e-mails des taxis sont fournies sur un fichier Excel avec les colonnes NOM - ADRESSE - CODE POSTAL - VILLE - TELEPHONE - ADRESSE E-MAIL
Nous ajoutons systématiquement les champs FORME JURIDIQUE / NOM DU DIRIGEANT / DATE DE CREATION / SIRET / SIREN / CODE NAF APE / CHIFFRE D'AFFAIRES / RESULTAT / NOMBRE DE SALARIÉS EFFECTIF que nous avons en notre possession.",200
Adresses emails de transports routiers,13.384 adresses emails de transports routiers,"Les 13.384 adresses e-mails de transports routiers sont fournies sur un fichier Excel avec les colonnes NOM - ADRESSE - CODE POSTAL - VILLE - TELEPHONE - ADRESSE E-MAIL
Nous ajoutons systématiquement les champs FORME JURIDIQUE / NOM DU DIRIGEANT / DATE DE CREATION / SIRET / SIREN / CODE NAF APE / CHIFFRE D'AFFAIRES / RESULTAT / NOMBRE DE SALARIÉS EFFECTIF que nous avons en notre possession.",150
Emails stations montage de pneus,9.576 adresses e-mails des stations de montage de pneus,"Les 9.576 adresses e-mails des stations de montage de pneus sont fournies sur un fichier Excel avec les colonnes NOM - ADRESSE - CODE POSTAL - VILLE - TELEPHONE - ADRESSES E-MAIL
Nous ajoutons systématiquement les champs FORME JURIDIQUE / NOM DU DIRIGEANT / DATE DE CREATION / SIRET / SIREN / CODE NAF APE / CHIFFRE D'AFFAIRES / RESULTAT / NOMBRE DE SALARIÉS EFFECTIF que nous avons en notre possession.",110
E-mails concessionnaires automobiles,Base de 17.654 adresses emails des concessionnaires et distributeurs d'automobiles,"Les 17.654 adresses e-mails des concessionnaires et distributeurs d'automobiles sont fournies sur un fichier XLS avec les colonnes NOM - ADRESSE - CP - VILLE - TEL - EMAIL
Nous ajoutons systématiquement les champs FORME JURIDIQUE / NOM DU DIRIGEANT / DATE DE CREATION / SIRET / SIREN / CODE NAF APE / CHIFFRE D'AFFAIRES / RESULTAT / NOMBRE DE SALARIÉS EFFECTIF que nous avons en notre possession.",200
Base d'adresses emails de carrossiers,17.357 adresses emails de carrossiers,"Les 17.357 adresses e-mails des carrosseries sont fournies sur un fichier XLS avec les colonnes NOM - ADRESSE - CP - VILLE - TEL - EMAIL
Nous ajoutons systématiquement les champs FORME JURIDIQUE / NOM DU DIRIGEANT / DATE DE CREATION / SIRET / SIREN / CODE NAF APE / CHIFFRE D'AFFAIRES / RESULTAT / NOMBRE DE SALARIÉS EFFECTIF que nous avons en notre possession.",200
Base d'adresses emails des aéroports et services aéroportuaires,496 adresses emails des aéroports et services aéroportuaires,"Les 496 adresses e-mails des aéroports et services aéroportuaires sont fournies sur un fichier XLS avec les colonnes NOM - ADRESSE - CP - VILLE - TEL - EMAIL
Nous ajoutons systématiquement les champs FORME JURIDIQUE / NOM DU DIRIGEANT / DATE DE CREATION / SIRET / SIREN / CODE NAF APE / CHIFFRE D'AFFAIRES / RESULTAT / NOMBRE DE SALARIÉS EFFECTIF que nous avons en notre possession.",20
Emails des garages poids lourds,3.563 adresses emails des garages de poids lourds,"Les 3.563 adresses e-mails des garages de poids lourds sont fournies sur un fichier XLS avec les colonnes NOM - ADRESSE - CP - VILLE - TEL - EMAIL
Nous ajoutons systématiquement les champs FORME JURIDIQUE / NOM DU DIRIGEANT / DATE DE CREATION / SIRET / SIREN / CODE NAF APE / CHIFFRE D'AFFAIRES / RESULTAT / NOMBRE DE SALARIÉS EFFECTIF que nous avons en notre possession.",50
